date,order_id,sale_id,order_or_return,product_type,product_title,product_variant,quantity_ordered,billing_country,billing_region,billing_city,location,new_or_returning,gross_sales,discounts,returns,net_sales,shipping_charges,taxes,total_sales
2020-10-15,2477728432174,7565436649518,order,,"Medical Snuggie",S,1,Canada,"British Columbia",Victoria,"Victoria, British Columbia, Canada",New,27.29,0,0,27.29,0,1.36,28.65
2020-10-15,2477383647278,7564312477742,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-10-15,2477518258222,7564758515758,order,,"Medical Snuggie",M1,1,Canada,"Northwest Territories","Fort Smith","Fort Smith, Northwest Territories, Canada",New,31.99,0,0,31.99,0,1.6,33.59
2020-10-15,2477518258222,7564758581294,order,,,,0,Canada,"Northwest Territories","Fort Smith","Fort Smith, Northwest Territories, Canada",New,0,0,0,0,0,0,0
2020-10-15,2477383647278,7564312510510,order,,,,0,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-15,2477728432174,7565436682286,order,,,,0,Canada,"British Columbia",Victoria,"Victoria, British Columbia, Canada",New,0,0,0,0,5.99,0.3,6.29
2020-10-16,2478766981166,7568663412782,order,,,,0,Canada,Ontario,Toronto,"Toronto, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-16,2478766981166,7568663380014,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,Toronto,"Toronto, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-10-18,2482426347566,7579739258926,order,,"Medical Snuggie",XS,1,Canada,Ontario,Kingston,"Kingston, Ontario, Canada",New,23.99,0,0,23.99,0,3.12,27.11
2020-10-18,2482426347566,7579739291694,order,,,,0,Canada,Ontario,Kingston,"Kingston, Ontario, Canada",New,0,0,0,0,5.99,0.78,6.77
2020-10-19,2483252723758,7582289821742,order,,,,0,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,0,0,0,0,5.99,0.78,6.77
2020-10-19,2484204306478,7585324826670,order,Clothing,"3 Season Heated Coat",M1,1,Canada,Ontario,Burlington,"Burlington, Ontario, Canada",New,196.99,0,0,196.99,0,25.61,222.6
2020-10-19,2484204306478,7585324859438,order,,,,0,Canada,Ontario,Burlington,"Burlington, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-19,2483609894958,7583398756398,order,Clothing,"3 Season Heated Coat",M1,1,Canada,Alberta,"Sylvan Lake","Sylvan Lake, Alberta, Canada",New,196.99,0,0,196.99,0,9.85,206.84
2020-10-19,2483952386094,7584509067310,order,Clothing,"High-Top Boots",,1,Canada,Ontario,Toronto,"Toronto, Ontario, Canada",New,95.99,0,0,95.99,0,12.48,108.47
2020-10-19,2483609894958,7583398789166,order,,,,0,Canada,Alberta,"Sylvan Lake","Sylvan Lake, Alberta, Canada",New,0,0,0,0,0,0,0
2020-10-19,2483252723758,7582289788974,order,,"Medical Snuggie",M2,1,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,37.19,0,0,37.19,0,4.83,42.02
2020-10-19,2483952386094,7584509100078,order,,,,0,Canada,Ontario,Toronto,"Toronto, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-20,2484870381614,7587312959534,order,,"Medical Snuggie",S,1,Canada,Ontario,Grimsby,"Grimsby, Ontario, Canada",New,27.29,0,0,27.29,0,3.55,30.84
2020-10-20,2484870381614,7587312992302,order,,,,0,Canada,Ontario,Grimsby,"Grimsby, Ontario, Canada",New,0,0,0,0,5.99,0.78,6.77
2020-10-21,2487478747182,7595413962798,order,,,,0,Canada,Ontario,Toronto,"Toronto, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-21,2487478747182,7595413930030,order,Clothing,"High-Top Boots",,1,Canada,Ontario,Toronto,"Toronto, Ontario, Canada",New,95.99,0,0,95.99,0,12.48,108.47
2020-10-23,2490390675502,7605154119726,order,,,,0,Canada,Ontario,Lincoln,"Lincoln, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-23,2490390675502,7605154086958,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,Lincoln,"Lincoln, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-10-26,2494139203630,7616427393070,order,,"Medical Snuggie",L,1,Canada,Ontario,Ottawa,"Ottawa, Ontario, Canada",New,41.24,0,0,41.24,0,2.06,43.3
2020-10-26,2494139203630,7616427425838,order,,,,0,Canada,Ontario,Ottawa,"Ottawa, Ontario, Canada",New,0,0,0,0,5.99,0.3,6.29
2020-10-27,2495609045038,7621061869614,order,,,,0,Canada,Quebec,Montreal,"Montreal, Quebec, Canada",New,0,0,0,0,0,0,0
2020-10-27,2494981963822,7619181183022,order,Clothing,"High-Top Boots","XS -  2 Boots Only",1,Canada,Alberta,"Lake Louise","Lake Louise, Alberta, Canada",New,82.99,0,0,82.99,0,4.15,87.14
2020-10-27,2494981963822,7619181215790,order,,,,0,Canada,Alberta,"Lake Louise","Lake Louise, Alberta, Canada",New,0,0,0,0,0,0,0
2020-10-27,2495609045038,7621061836846,order,,Hoodie,M1,1,Canada,Quebec,Montreal,"Montreal, Quebec, Canada",New,54.99,0,0,54.99,0,2.75,57.74
2020-10-28,2497059061806,7625502949422,order,,"Clinic Custom Order",XS,3,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,35.97,0,0,35.97,0,4.68,40.65
2020-10-28,2497076002862,7625559998510,order,,Hoodie,M2,1,Canada,Quebec,Montreal,"Montreal, Quebec, Canada",Returning,64.99,0,0,64.99,0,3.25,68.24
2020-10-28,2498058616878,7629642498094,order,,,,0,Canada,Ontario,Toronto,"Toronto, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-28,2498058616878,7629642465326,order,,Hoodie,XL,1,Canada,Ontario,Toronto,"Toronto, Ontario, Canada",New,74.99,0,0,74.99,0,9.75,84.74
2020-10-28,2497076002862,7625560031278,order,,,,0,Canada,Quebec,Montreal,"Montreal, Quebec, Canada",Returning,0,0,0,0,0,0,0
2020-10-28,2497059061806,7625502916654,order,,"Clinic Custom Order",S,4,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,54.6,0,0,54.6,0,7.1,61.7
2020-10-28,2497059061806,7625502883886,order,,"Clinic Custom Order",M1,2,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,31.98,0,0,31.98,0,4.16,36.14
2020-10-28,2497379303470,7626495492142,order,,,,0,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-28,2497379303470,7626495459374,order,Clothing,"3 Season Heated Coat",S,1,Canada,Ontario,Oakville,"Oakville, Ontario, Canada",New,182.99,0,0,182.99,0,23.79,206.78
2020-10-28,2497059061806,7625502982190,order,,,,0,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-28,2497059061806,7625502851118,order,,"Clinic Custom Order",M2,2,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,37.18,0,0,37.18,0,4.83,42.01
2020-10-29,2499517546542,7634622709806,return,,,,0,Canada,Ontario,"Grimsby ","Grimsby , Ontario, Canada",New,0,0,-30.84,-30.84,0,0,-30.84
2020-10-29,2499212738606,7633219125294,order,,,,0,Canada,Manitoba,Dauphin,"Dauphin, Manitoba, Canada",New,0,0,0,0,0,0,0
2020-10-29,2499517546542,18979228516528,return,,,,0,Canada,Ontario,"Grimsby ","Grimsby , Ontario, Canada",New,0,0,0,0,-5.99,-0.78,-6.77
2020-10-29,2499517546542,7634194464814,order,,,,0,Canada,Ontario,"Grimsby ","Grimsby , Ontario, Canada",New,0,0,0,0,5.99,0.78,6.77
2020-10-29,2499517546542,18979228483760,return,,,,0,Canada,Ontario,"Grimsby ","Grimsby , Ontario, Canada",New,0,0,0,0,5.99,0.78,6.77
2020-10-29,2499212738606,7633219059758,order,Clothing,"High-Top Boots","XS -  2 Boots Only",1,Canada,Manitoba,Dauphin,"Dauphin, Manitoba, Canada",New,82.99,0,0,82.99,0,4.15,87.14
2020-10-29,2499517546542,7634622742574,return,,,,0,Canada,Ontario,"Grimsby ","Grimsby , Ontario, Canada",New,0,0,0,0,-5.99,-0.78,-6.77
2020-10-29,2499517546542,7634194432046,order,,"Medical Snuggie",S,1,Canada,Ontario,"Grimsby ","Grimsby , Ontario, Canada",New,27.29,0,0,27.29,0,3.55,30.84
2020-10-29,2499212738606,7633219092526,order,Clothing,"3 Season Heated Coat",S,1,Canada,Manitoba,Dauphin,"Dauphin, Manitoba, Canada",New,182.99,0,0,182.99,0,9.15,192.14
2020-10-30,2500727439406,7637892464686,order,,Hoodie,M1,1,Canada,Ontario,Burlington,"Burlington, Ontario, Canada",New,54.99,0,0,54.99,0,7.15,62.14
2020-10-30,2495609045038,7638623748142,return,,Hoodie,M1,0,Canada,Quebec,Montreal,"Montreal, Quebec, Canada",New,0,0,-54.99,-54.99,0,-2.75,-57.74
2020-10-30,2500727439406,7637892497454,order,,,,0,Canada,Ontario,Burlington,"Burlington, Ontario, Canada",New,0,0,0,0,0,0,0
2020-10-30,2500576116782,7637414576174,order,,,,1,Canada,Alberta,Calgary,"Calgary, Alberta, Canada",New,97.99,0,0,97.99,0,4.9,102.89
2020-10-30,2500576116782,7637414608942,order,,,,0,Canada,Alberta,Calgary,"Calgary, Alberta, Canada",New,0,0,0,0,0,0,0
2020-11-01,2503212073006,7645226893358,order,,,,0,Canada,Quebec,Hampstead,"Hampstead, Quebec, Canada",New,0,0,0,0,0,0,0
2020-11-01,2503212073006,7645226860590,order,,Hoodie,M1,1,Canada,Quebec,Hampstead,"Hampstead, Quebec, Canada",New,54.99,0,0,54.99,0,2.75,57.74
2020-11-02,2504380055598,7648835797038,order,,,,0,"United States","New Jersey","Pequannock Township","Pequannock Township, New Jersey, United States",New,0,0,0,0,20.29,0,20.29
2020-11-02,2504057028654,7647805243438,order,Clothing,"High-Top Boots",,1,Canada,Ontario,Etobicoke,"Etobicoke, Ontario, Canada",New,99.99,0,0,99.99,0,13,112.99
2020-11-02,2504057028654,7647805276206,order,,,,0,Canada,Ontario,Etobicoke,"Etobicoke, Ontario, Canada",New,0,0,0,0,0,0,0
2020-11-02,2504380055598,7648835764270,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,"United States","New Jersey","Pequannock Township","Pequannock Township, New Jersey, United States",New,152.89,0,0,152.89,0,0,152.89
2020-11-03,3027690684592,10146977710256,order,,,,0,Canada,Ontario,Belleville,"Belleville, Ontario, Canada",New,0,0,0,0,0,0,0
2020-11-03,3027390628016,10145978745008,order,,,,0,Canada,Ontario,Barrie,"Barrie, Ontario, Canada",New,0,0,0,0,0,0,0
2020-11-03,3027310641328,10145717092528,order,,,,0,Canada,Alberta,"Edmonton ","Edmonton , Alberta, Canada",New,0,0,0,0,0,0,0
2020-11-03,3027690684592,10146977677488,order,,,,1,Canada,Ontario,Belleville,"Belleville, Ontario, Canada",New,80.43,0,0,80.43,0,10.46,90.89
2020-11-03,3027310641328,10145717059760,order,Clothing,"3 Season Heated Coat",S,1,Canada,Alberta,"Edmonton ","Edmonton , Alberta, Canada",New,182.99,0,0,182.99,0,9.15,192.14
2020-11-03,3027310641328,10145717026992,order,Clothing,"High-Top Boots","S - 2 Boots Only",1,Canada,Alberta,"Edmonton ","Edmonton , Alberta, Canada",New,86.99,0,0,86.99,0,4.35,91.34
2020-11-03,3027390628016,10145978712240,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,Barrie,"Barrie, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-11-04,3028247904432,10148677877936,order,Clothing,"High-Top Boots","XS -  2 Boots Only",1,Canada,"British Columbia",Victoria,"Victoria, British Columbia, Canada",New,82.99,0,0,82.99,0,4.15,87.14
2020-11-04,3028247904432,10148677943472,order,,,,0,Canada,"British Columbia",Victoria,"Victoria, British Columbia, Canada",New,0,0,0,0,0,0,0
2020-11-04,3028247904432,10148677910704,order,Clothing,"3 Season Heated Coat",S,1,Canada,"British Columbia",Victoria,"Victoria, British Columbia, Canada",New,182.99,0,0,182.99,0,9.15,192.14
2020-11-04,3028247904432,10148677845168,order,,"Trench Coat",S,1,Canada,"British Columbia",Victoria,"Victoria, British Columbia, Canada",New,53.59,0,0,53.59,0,2.68,56.27
2020-11-05,3043965829296,10152093057200,order,,,,0,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,0,0,0,0,5.99,0.78,6.77
2020-11-05,3043965829296,10152093024432,order,,"Medical Snuggie",M2,1,Canada,Ontario,Mississauga,"Mississauga, Ontario, Canada",New,37.19,0,0,37.19,0,4.83,42.02
2020-11-06,3045619826864,10157141459120,order,,Hoodie,S,1,Canada,"British Columbia",Vancouver,"Vancouver, British Columbia, Canada",New,49.99,0,0,49.99,0,2.5,52.49
2020-11-06,3045619826864,10157141491888,order,,,,0,Canada,"British Columbia",Vancouver,"Vancouver, British Columbia, Canada",New,0,0,0,0,0,0,0
2020-11-07,3050593910960,10162495488176,order,,,,0,Canada,Alberta,Edmonton,"Edmonton, Alberta, Canada",New,0,0,0,0,0,0,0
2020-11-07,3050593910960,10162495455408,order,Clothing,"High-Top Boots","S - 2 Boots Only",1,Canada,Alberta,Edmonton,"Edmonton, Alberta, Canada",New,86.99,0,0,86.99,0,4.35,91.34
2020-11-07,3050593910960,10162495422640,order,Clothing,"High-Top Boots",,1,Canada,Alberta,Edmonton,"Edmonton, Alberta, Canada",New,90.99,0,0,90.99,0,4.55,95.54
2020-11-11,3058138710192,10182197412016,order,,"Medical Snuggie",XS,1,Canada,Ontario,Vaughan,"Vaughan, Ontario, Canada",New,23.99,0,0,23.99,0,3.12,27.11
2020-11-11,3058138710192,10182197444784,order,,,,0,Canada,Ontario,Vaughan,"Vaughan, Ontario, Canada",New,0,0,0,0,5.99,0.78,6.77
2020-11-17,3068744630448,10213932990640,order,,,,0,Canada,Ontario,CAMPBELLVILLE,"CAMPBELLVILLE, Ontario, Canada",New,0,0,0,0,0,0,0
2020-11-17,3069187129520,10215214809264,order,,,,1,Canada,Ontario,Belleville,"Belleville, Ontario, Canada",Returning,163.7,0,0,163.7,0,21.28,184.98
2020-11-17,3068744630448,10213932957872,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,CAMPBELLVILLE,"CAMPBELLVILLE, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-11-17,3069187129520,10215214842032,order,,,,0,Canada,Ontario,Belleville,"Belleville, Ontario, Canada",Returning,0,0,0,0,0,0,0
2020-11-18,3070501159088,10219148083376,order,,"Clinic Custom Order",M1,3,Canada,Ontario,Cambridge,"Cambridge, Ontario, Canada",Returning,47.97,0,0,47.97,0,6.24,54.21
2020-11-18,3070501159088,10219148181680,order,,,,0,Canada,Ontario,Cambridge,"Cambridge, Ontario, Canada",Returning,0,0,0,0,0,0,0
2020-11-18,3070501159088,10219148148912,order,,"Clinic Custom Order",XS,1,Canada,Ontario,Cambridge,"Cambridge, Ontario, Canada",Returning,11.99,0,0,11.99,0,1.56,13.55
2020-11-18,3070501159088,10219148116144,order,,"Clinic Custom Order",S,3,Canada,Ontario,Cambridge,"Cambridge, Ontario, Canada",Returning,40.95,0,0,40.95,0,5.32,46.27
2020-11-18,3070501159088,10219148017840,order,,"Clinic Custom Order",M2,1,Canada,Ontario,Cambridge,"Cambridge, Ontario, Canada",Returning,18.59,0,0,18.59,0,2.42,21.01
2020-11-18,3070431330480,10218961862832,order,,,,0,Canada,Ontario,Waterdown,"Waterdown, Ontario, Canada",New,0,0,0,0,0,0,0
2020-11-18,3070431330480,10218961830064,order,Clothing,"DOGORA Clinic Starter Kit","Starter Kit",1,Canada,Ontario,Waterdown,"Waterdown, Ontario, Canada",New,150,0,0,150,0,19.5,169.5
2020-11-19,3072308117680,10225476534448,order,Clothing,"High-Top Boots","S - 2 Boots Only",1,Canada,Ontario,Elora,"Elora, Ontario, Canada",New,86.99,0,0,86.99,0,11.31,98.3
2020-11-19,3072486244528,10226173870256,order,,,,0,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,0,0,0,0,0,0,0
2020-11-19,3072308117680,10225476501680,order,Clothing,"3 Season Heated Coat",M1,1,Canada,Ontario,Elora,"Elora, Ontario, Canada",New,196.99,0,0,196.99,0,25.61,222.6
2020-11-19,3072486244528,10226173739184,order,Clothing,"High-Top Boots","XS -  2 Boots Only",1,Canada,Ontario,Milton,"Milton, Ontario, Canada",New,82.99,0,0,82.99,0,4.15,87.14
